Identifiant	Nom du fichier	Analyse du texte	Notions du programme de philosophie
50	CHARBONNIER_Pudeur	Titre: La pudeur. Thèse: La critique exige pudeur, respectant l'intimité et le temps d'autrui. Résumé: La critique doit être pudique car les idées sont intimement liées à soi. Trop de démonstrations blessent. Chercher à changer autrui publiquement est violent, car la transformation des croyances exige temps et solitude. Aimer, c'est respecter ce processus personnel.	Le temps, La raison, La liberté, La conscience, Le devoir
100	AFEISSA_Éthique environnementale	Titre: Les trois courants de l’éthique environnementale. Thèse: Trois positions majeures fondent la valeur intrinsèque de la nature. Résumé: Trois positions majeures existent: Paul W. Taylor (biocentrisme) valorise les organismes vivants individuels; Holmes Rolston III étend la valeur intrinsèque des individus aux espèces et écosystèmes; J. Baird Callicott (land ethic) soutient que le bien de la communauté biotique est la mesure ultime de la valeur morale.	La nature, La science
101	AFEISSA_Éthique environnementale_C	Titre: Les trois courants de l’éthique environnementale (version courte). Thèse: Trois positions majeures fondent la valeur intrinsèque de la nature. Résumé: Trois positions majeures existent: Paul W. Taylor (biocentrisme) valorise les organismes vivants individuels; Holmes Rolston III étend la valeur intrinsèque des individus aux espèces et écosystèmes; J. Baird Callicott (land ethic) soutient que le bien de la communauté biotique est la mesure ultime de la valeur morale.	La nature, La science
102	ALAIN_Angoisse&Dissipation&Habitude	Titre: Angoisse – Dissipation – Habitude. Thèse: L'habitude est un art d'agir mieux sans y penser. Résumé: L'angoisse est l'effet d'une attention extrême coupant le souffle. La dissipation est une dispersion de l'attention sans préférence. L'habitude est un art d'agir sans y penser et mieux qu'en y pensant, permettant une action souple et rapide en éliminant la peur.	La conscience, Le travail
103	ALAIN_Artisan&artiste	Titre: L'artisan et l'artiste. Thèse: L'artiste découvre l'idée en faisant, l'artisan exécute l'idée. Résumé: L'artisan travaille selon une idée préétablie, relevant de l'industrie et de l'exécution mécanique. L'artiste, en revanche, découvre l'idée (la règle du beau) au fur et à mesure de l'exécution, devenant spectateur de son oeuvre en train de naître.	L'art, La conscience
104	ALAIN_Bonheur&Devoir	Titre: Le devoir d'être heureux, ne serait-ce que pour les autres. Thèse: Le bonheur doit être voulu et conquis, c'est un devoir. Résumé: Le bonheur n'est pas passif, mais se conquiert par une lutte volontaire contre le malheur et l'ennui. Il est un devoir envers soi et surtout envers les autres, car il purifie la vie commune et représente l'offrande la plus belle et la plus généreuse que l'on puisse faire à ceux qu'on aime.	Le bonheur, Le devoir
105	ALAIN_Félicité	Titre: Béatitude et félicité. Thèse: La félicité est un bonheur qui vient du dehors. Résumé: La félicité est un bonheur extérieur, s'opposant à la béatitude qui a sa source en soi. Elle implique la plénitude et la sécurité. Le verbe féliciter s'applique aux hasards heureux (comme gagner à la loterie), et non au mérite propre.	Le bonheur, La nature
106	ALAIN_L'Attention	Titre: L’attention chez Alain. Thèse: L'attention est un acte volontaire, elle doit être déliée. Résumé: L'attention est l'exercice volontaire de l'intelligence. L'inattention a plusieurs formes (totale ou mobile). L'attention nouée (tendue) paralyse l'esprit, ne garantissant pas l'exactitude du souvenir. L'attention déliée est simple, libre et puissante, éliminant la peur.	La conscience
107	ALAIN_L'inconscient	Titre: L'inconscient. Thèse: L'inconscient n'est pas une pensée, mais un mécanisme sans conscience. Résumé: Un inconscient est un homme qui n'examine pas ses actions. Penser requiert de se diviser soi même. Ce que l'on nomme l'inconscient n'est pas un double qui pense sans nous, mais un automate, un pur mécanisme sans malice, volonté ni pensée propre.	L'inconscient, La raison
108	ALAIN_Passions&Peur&Cause	Titre: Déterminer la cause des passions. Thèse: Les passions ne sont maîtrisées que par la connaissance de leurs causes. Résumé: Pour maîtriser les passions comme la peur ou l'humeur, il faut en chercher la vraie cause, souvent physique ("l'épingle"), plutôt que de les réfuter par des raisons. La personne passionnée invente un danger pour expliquer sa peur réelle, se trompant sur l'origine.	La conscience, La raison
109	ALAIN_Passions&raison&action	Titre: L’action comme libération des passions. Thèse: L'action, pas la raison, libère de l'emprise des passions. Résumé: La peur et les passions ne sont pas vaincues par la pensée ou le raisonnement, mais par l'action. Un travail corporel mesuré, comme celui des doigts du pianiste ou des muscles assouplis, secoue et défait la peur, car la souplesse chasse la raideur.	La raison, Le travail
110	ALI-Zahra_Féminisme-islamique_Introduction	Titre: Introduction au féminisme islamique. Thèse: Le féminisme islamique déconstruit l'essentialisme pour l'égalité. Résumé: Le féminisme islamique est un mouvement qui remet en question les lectures et interprétations sexistes des sources de l'islam (Coran, Sunna) en utilisant l'outil de l'ijtihad (effort de réflexion). Il vise à réaffirmer l'égalité des sexes et la justice comme principes fondamentaux de la religion musulmane, tout en critiquant le modèle occidental dominant du féminisme.	La religion, La raison, La liberté, La justice
111	ARENDT_Homme&Machine&Asservissement	Titre: La mise au pas de l'Homme par la machine. Thèse: La machine exige l'adaptation humaine, l'outil sert la main. Résumé: La différence cruciale entre l'outil et la machine est que l'outil reste au service de la main de l'artisan, tandis que la machine exige que le travailleur s'adapte à son rythme mécanique.	Le travail
112	ARISTOTE_Amitié	Titre: L'amitié. Thèse: L'amitié parfaite est celle des hommes vertueux. Résumé: L'amitié est un besoin nécessaire et une forme de vertu. Elle a pour objet le bien, l'agréable ou l'utile. L'amitié parfaite est celle entre gens vertueux, qui se veulent mutuellement du bien pour ce qu'ils sont, et non par accident (intérêt ou plaisir), ce qui la rend durable.	Le bonheur, La liberté, La vérité
113	ARISTOTE_Animaux&Homme	Titre: Les animaux existent pour l'homme. Thèse: La nature a tout créé pour l'usage humain. Résumé: Aristote affirme que la nature ne fait rien en vain. Les plantes existent pour les animaux, et les animaux (domestiques et sauvages) existent pour l'homme, en vue de son travail, de sa nourriture, de ses vêtements et d'autres besoins.	La nature, La raison
